Timestamp,Action,Case #,Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Parcel ID
2026-04-15T07:48:33,NEW,2025-CA-002264-O,04/16/2026 11:00 AM ET,"19 W PRINCETON ST ORLANDO, 32804","$901,960.11","$911,520.00",Hidden,292213774004110
2026-04-15T07:48:33,NEW,2024-CC-022231-O,04/20/2026 11:00 AM ET,"2032 CANOPY CIR UNIT 148 ZELLWOOD, 32798","$15,787.43","$173,120.00",Hidden,272025982500148
2026-04-15T07:48:33,NEW,2025-CA-005937-O,04/20/2026 11:00 AM ET,"11056 CLIPPER CT WINDERMERE, 34786","$1,251,782.68","$1,060,792.00","$1,272,634.26",282305550200140
2026-04-15T07:48:33,NEW,2022-CA-000948-O,04/21/2026 11:00 AM ET,"11824 GREAT COMMISSION WAY ORLANDO, 32832","$338,821.76","$343,740.00",Hidden,312410266602720
2026-04-15T07:48:33,NEW,2022-CC-014013-O,04/21/2026 11:00 AM ET,"2045 EL MARRA DR OCOEE, 34761","$19,305.16","$388,620.00","$407,549.76",Property
2026-04-15T07:48:33,NEW,2024-CA-005721-O,04/21/2026 11:00 AM ET,"3408 N WESTMORELAND DR ORLANDO, 32804","$343,567.22","$187,430.00",Hidden,292210242204050
2026-04-15T07:48:33,NEW,2024-CA-006356-O,04/21/2026 11:00 AM ET,"5550 E MICHIGAN ST UNIT 2325 ORLANDO, 32822","$129,481.16","$110,673.00",Hidden,302304734602325
2026-04-15T07:48:33,NEW,2024-CA-010490-O,04/21/2026 11:00 AM ET,"6451 OLD PARK LN UNIT 407 ORLANDO, 32835","$204,793.55","$177,900.00","$204,793.55",282301819004407
2026-04-15T07:48:33,NEW,2024-CA-010493-O,04/21/2026 11:00 AM ET,"5566 METROWEST BLVD UNIT 2-103 ORLANDO, 32811","$149,466.65","$180,496.00","$160,226.59",292306660302103
2026-04-15T07:48:33,NEW,2025-CA-000214-O,04/21/2026 11:00 AM ET,"3611 WESTWOOD RD ORLANDO, 32808","$225,430.72","$123,429.00",Hidden,282212705107140
2026-04-15T07:48:33,NEW,2025-CA-000455-O,04/21/2026 11:00 AM ET,"5528 MINUTE MAN CT ORLANDO, 32821","$5,882.78","$294,040.00",Hidden,TIMESHARE
2026-04-15T07:48:33,NEW,2018-CA-013612-O,04/22/2026 11:00 AM ET,"1401 YATES ST ORLANDO, 32804","$158,872.04","$177,149.00",Hidden,292222177601400
2026-04-15T07:48:33,NEW,2023-CA-017015-O,04/22/2026 11:00 AM ET,"531 RUFFEL ST MAITLAND, 32751","$47,485.25","$244,320.00","$62,175.19",292136000000096
2026-04-15T07:48:33,NEW,2024-CA-009153-O,04/23/2026 11:00 AM ET,"5710 JOYCE ST ORLANDO, 32839","$270,142.46","$228,620.00",Hidden,292324541602060
2026-04-15T07:48:33,NEW,2024-CA-010448-O,04/23/2026 11:00 AM ET,"4409 WATCH HILL RD ORLANDO, 32808","$224,549.92","$128,637.00",Hidden,292206889400900
2026-04-15T07:48:33,NEW,2025-CA-007586-O,04/23/2026 11:00 AM ET,"1944 BRIDGEVIEW CIR ORLANDO, 32824","$8,260.55","$366,015.00",Hidden,302430946789280
2026-04-15T07:48:33,NEW,2025-CA-008403-O,04/23/2026 11:00 AM ET,"101 S GLENWOOD AVE ORLANDO, 32803","$382,804.67","$292,670.00",Hidden,302230358400460
2026-04-15T07:48:33,NEW,2025-CA-005085-O,04/24/2026 11:00 AM ET,"4204 COLUMBIA ST ORLANDO, 32811-4170","$40,406.69","$279,290.00","$222,388.82",TIMESHARE
2026-04-15T07:48:33,NEW,2025-CA-010318-O,04/24/2026 11:00 AM ET,"5765 ST CHRISTOPHER DR UNIT 56 ORLANDO, 32822","$133,397.76","$95,259.00","$135,200.00",302315793207560
2026-04-15T07:48:33,NEW,2025-CA-007146-O,04/27/2026 11:00 AM ET,"10436 JANE EYRE DR ORLANDO, 32825","$233,018.61","$303,087.00",Hidden,312229668802200
2026-04-15T07:48:33,NEW,2025-CA-010076-O,04/27/2026 11:00 AM ET,"2707 GRASSMERE LN ORLANDO, 32808","$353,453.90","$348,790.00",Hidden,282213923802040
2026-04-15T07:48:33,NEW,2024-CA-011315-O,04/28/2026 11:00 AM ET,"2943 WOOLRIDGE DR ORLANDO, 32837","$3,545.71","$112,760.00",Hidden,TIMESHARE
2026-04-15T07:48:33,NEW,2025-CA-006362-O,04/28/2026 11:00 AM ET,"101 W GRANT ST ORLANDO, 32806","$6,705.78","$501,950.00",Hidden,TIMESHARE
2026-04-15T07:48:33,NEW,2024-CA-006165-O,05/01/2026 11:00 AM ET,"2533 BRAMPTON CT ORLANDO, 32817","$184,647.91","$222,099.00",Hidden,312218022401890
2026-04-15T07:48:33,NEW,2025-CA-005675-O,05/01/2026 11:00 AM ET,"9925 RED CLOVER AVE ORLANDO, 32824","$207,893.12","$88,379.00",Hidden,302406555901010
2026-04-15T07:48:33,NEW,2015-CA-010814-O,05/05/2026 11:00 AM ET,"7101 WHITE TRILLIUM CIR ORLANDO, 32818","$740,905.16","$340,660.00",Hidden,282202243100410
2026-04-15T07:48:33,NEW,2017-CA-002998-O,05/05/2026 11:00 AM ET,"7866 BARDMOOR HILL CIR ORLANDO, 32835","$527,527.95","$331,673.00",Hidden,282303566201490
2026-04-15T07:48:33,NEW,2023-CA-011611-O,05/05/2026 11:00 AM ET,"4025 SHORECREST DR ORLANDO, 32804","$215,315.97","$258,801.00",Hidden,292211069206150
2026-04-15T07:48:33,NEW,2023-CA-011632-O,05/05/2026 11:00 AM ET,"10244 SANDY MARSH LN ORLANDO, 32832","$354,853.35","$540,558.00",Hidden,312409512901190
2026-04-15T07:48:33,NEW,2022-CA-003757-O,05/06/2026 11:00 AM ET,"9923 CASTLETON ST ORLANDO, 32817","$270,746.51","$217,416.00",Hidden,312207380001620
2026-04-15T07:48:33,NEW,2023-CC-009899-O,05/06/2026 11:00 AM ET,"5317 INDIAN CREEK DRIVE # F-02 ORLANDO, 32811","$54,932.02","$566,290.00",Hidden,Property
2026-04-15T07:48:33,NEW,2025-CA-008451-O,05/06/2026 11:00 AM ET,"5263 CORAL CT UNIT 632 ORLANDO, 32811","$123,031.31","$207,300.00",Hidden,TIMESHARE
2026-04-15T07:48:33,NEW,2022-CA-005715-O,05/07/2026 11:00 AM ET,"2213 BONNEVILLE DR ORLANDO, 32826","$128,775.10","$189,750.00",Hidden,312214653910053
2026-04-15T07:48:33,NEW,2023-CA-014748-O,05/07/2026 11:00 AM ET,"7133 TALLOWTREE LN ORLANDO, 32835","$318,677.53","$393,800.00",Hidden,282226393000110
2026-04-15T07:48:33,NEW,2024-CA-001014-O,05/07/2026 11:00 AM ET,"1504 ST LAWRENCE ST ORLANDO, 32818","$377,470.74","$302,470.00",Hidden,282222889200430
2026-04-15T07:48:33,NEW,2024-CA-005626-O,05/07/2026 11:00 AM ET,"1984 CASABA COVE AVE OCOEE, 34761","$33,263.02","$401,900.00",Hidden,282204627400500
2026-04-15T07:48:33,NEW,2024-CA-010848-O,05/07/2026 11:00 AM ET,"10633 WATERTOWN CT ORLANDO, 32821","$349,142.59","$294,100.00",Hidden,292407935903090
2026-04-15T07:48:33,NEW,2024-CC-017891-O,05/07/2026 11:00 AM ET,"5313 INDIAN CREEK DRIVE ORLANDO, 32811","$19,034.42","$594,160.00",Hidden,Property
2026-04-15T07:48:33,NEW,2025-CA-003935-O,05/07/2026 11:00 AM ET,"430 ASHLEY BROOKE CT APOPKA, 32712","$303,364.43","$229,776.00",Hidden,282105646149020
2026-04-15T07:48:33,NEW,2025-CA-009407-O,05/07/2026 11:00 AM ET,"449 LAKE VIEW DR APOPKA, 32703","$241,942.74","$275,110.00",Hidden,282106718802020
